rownum,sno,CUI1,CUI2
997,17,C1498241,C2243118
998,18,C1310099,C3156336
999,19,C2488761,C3617061
1000,20,C0676846,C1071024
1001,21,C0038762,C3448231
1002,22,C1205326,C1520580
1003,23,C0934102,C3389217
1004,24,C3596052,C3733657
1005,25,C1832676,C1916788
1006,26,C1513757,C1528038
1007,27,C2268000,C3764102
1008,28,C2792235,C3847321
1009,29,C1009981,C1372456
1010,30,C1513269,C3786503
1011,31,C0075807,C2550690
1012,32,C0942176,C3712640
1013,33,C1944620,C3127409
1014,34,C1708463,C3358601
1015,35,C2444717,C3051529
1016,36,C0605680,C2535134
1017,37,C1919581,C3592114
1018,38,C1021151,C3920322
1019,39,C1314551,C3427547
1020,40,C2326037,C3393687
1021,41,C3339523,C3606778
1022,42,C0489270,C3007023
1023,43,C0221282,C3098217
1024,44,C2242551,C3640815
1025,45,C0828934,C1454750
1026,46,C2372377,C3759129
1027,47,C2669498,C3776606
1028,48,C1472511,C1837730
1029,49,C2784379,C3770683
1030,50,C2780977,C4038393
1031,51,C1550143,C3376094
1032,52,C0584891,C1132244
1033,53,C2311357,C2662727
1034,54,C1942237,C3870934
1035,55,C1090237,C2532071
1036,56,C3818656,C3961560
1037,57,C0019487,C3405726
1038,58,C3146988,C3637180
1039,59,C2499460,C3167036
1040,60,C2334778,C3207928
1041,61,C0106662,C0972030
1042,62,C2268830,C4011444
1043,63,C0614730,C1472677
1044,64,C0051856,C0253456
1045,65,C3253228,C3808556
1046,66,C3012810,C3432716
1047,67,C1079922,C4006325
1048,68,C1589326,C3402368
1049,69,C2769498,C3036153
1050,0,C0696665,C2714897
1051,1,C2182921,C3416365
1052,2,C1038404,C3773487
1053,3,C3086737,C3603452
1054,4,C2608083,C2630872
1055,5,C2327490,C3912097
1056,6,C1881228,C3347323
1057,7,C0734351,C2411979
1058,8,C0709836,C3027964
1059,9,C1825838,C2447829
1060,10,C1991615,C3599748
1061,11,C1741443,C3242638
1062,12,C0724010,C1083452
1063,13,C0162833,C3756183
1064,14,C0638339,C0916587
1065,15,C1871006,C3563073
1066,16,C2654119,C3800346
1067,17,C2747189,C3606482
1068,18,C2504500,C3595492
1069,19,C3137073,C3934635
1070,20,C1022762,C2396139
1071,21,C1488172,C2468877
1072,22,C3610440,C3659083
1073,23,C3132484,C4045556
1074,24,C0652340,C1324758
1075,25,C2781619,C2930642
1076,26,C3094448,C3123668
1077,27,C1670940,C2769939
1078,28,C1230980,C2547303
1079,29,C0052434,C0130242
1080,30,C2636163,C3978796
1081,31,C3320587,C3990052
1082,32,C0852667,C0993999
1083,33,C0099972,C3234021
1084,34,C1048702,C2512396
1085,35,C0978532,C2714455
1086,36,C1334069,C1862756
1087,37,C2433126,C3828094
1088,38,C2984023,C3019074
1089,39,C1308227,C1718873
1090,40,C0799026,C2386451
1091,41,C3562258,C3977609
1092,42,C1383524,C1542307
1093,43,C1911943,C3995449
1094,44,C0229724,C3173318
1095,45,C3749590,C4012644
1096,46,C1431658,C3806627
1097,47,C2430727,C3069979
1098,48,C0827894,C2827992
1099,49,C0006991,C2974162
1100,50,C1414061,C1469906
1101,51,C0008370,C2351772
1102,52,C1561244,C3942863
1103,53,C2660192,C3003888
1104,54,C2996519,C3371098
1105,55,C1431950,C2688632
1106,56,C2573064,C3443997
1107,57,C1469595,C2474573
1108,58,C1225129,C2286411
1109,59,C0932175,C2584190
1110,60,C0998330,C2920872
1111,61,C3176043,C3990350
1112,62,C0833876,C0927019
1113,63,C1175897,C3719461
1114,64,C0268335,C1676673
1115,65,C2490383,C3062965
1116,66,C0956454,C1026261
1117,67,C0654817,C3097321
1118,68,C0829108,C1090461
1119,69,C1638447,C2485738
1120,0,C0105182,C3937351
1121,1,C1450380,C1663479
1122,2,C3219681,C3275188
1123,3,C0387400,C0803118
1124,4,C0039249,C2979444
1125,5,C2621726,C2933628
1126,6,C1912434,C3631798
1127,7,C0805688,C3670959
1128,8,C1035017,C1462159
1129,9,C1200001,C3693636
1130,10,C1888215,C4014284
1131,11,C1675444,C2777787
1132,12,C1412097,C2314235
1133,13,C1066101,C2920033
1134,14,C0597342,C3069900
1135,15,C1874167,C3238378
1136,16,C1232252,C3601961
1137,17,C1431414,C3952747
1138,18,C0152803,C1526399
1139,19,C2826894,C3149307
1140,20,C0484232,C3346817
1141,21,C1149672,C3719617
1142,22,C0333759,C3028803
1143,23,C3248438,C3332149
1144,24,C2772608,C3926757
1145,25,C1540206,C3421700
1146,26,C2511929,C2710493
1147,27,C2361922,C2539514
1148,28,C1456686,C2699449
1149,29,C1719596,C3067028
1150,30,C2348733,C2457244
1151,31,C1683277,C3715028
1152,32,C0286308,C4046685
1153,33,C0043490,C3014975
1154,34,C2790238,C3634449
1155,35,C1438329,C3635670
1156,36,C0711606,C3029938
1157,37,C1652629,C1902426
1158,38,C2437230,C3026252
1159,39,C1174975,C1378643
1160,40,C1170634,C1325564
1161,41,C1144160,C1483291
1162,42,C0223978,C3218209
1163,43,C0601051,C2671531
1164,44,C1562213,C3374724
1165,45,C0484430,C3779146
1166,46,C1558906,C2784386
1167,47,C2497917,C3348867
1168,48,C0922607,C2643906
1169,49,C1838313,C2998251
1170,50,C0551724,C3640592
1171,51,C1478600,C2810942
1172,52,C0347272,C3481581
1173,53,C0013345,C2458760
1174,54,C2669334,C3988687
1175,55,C0835456,C2932279
1176,56,C1874712,C2410194
1177,57,C2522249,C2538756
1178,58,C2820262,C3137458
1179,59,C3607071,C3777025
1180,60,C3108050,C3273891
1181,61,C2643159,C2794178
1182,62,C2551456,C2685293
1183,63,C0790556,C1317159
1184,64,C3173343,C3282509
1185,65,C2327531,C2515025
1186,66,C1910353,C3334411
1187,67,C1183493,C3921958
1188,68,C0365264,C0884187
1189,69,C2829984,C3326369
1190,0,C2283383,C3818416
1191,1,C1437491,C2778752
1192,2,C0241571,C0325565
1193,3,C2817921,C3922950
1194,4,C1501389,C2280664
1195,5,C0176836,C1511477
1196,6,C1234888,C3715703
1197,7,C3208695,C3222286
1198,8,C1475415,C1476121
1199,9,C2400245,C2447170
1200,10,C3126015,C3633593
1201,11,C1430623,C3064953
1202,12,C0034677,C1246773
1203,13,C2309557,C2932499
1204,14,C1341177,C2617199
1205,15,C1030980,C3775730
1206,16,C0097796,C3472895
1207,17,C2540739,C3937067
1208,18,C1634824,C3791082
1209,19,C3064177,C3352012
1210,20,C1538783,C2756995
1211,21,C1187475,C3120587
1212,22,C0482285,C3721856
1213,23,C0031516,C1448450
1214,24,C1482332,C3544420
1215,25,C1059214,C2734648
1216,26,C0941980,C2571385
1217,27,C0807071,C3111919
1218,28,C1992455,C3322603
1219,29,C0873908,C3891848
1220,30,C0951940,C2810739
1221,31,C1078827,C2311212
1222,32,C0743013,C2744432
1223,33,C0015876,C2533896
1224,34,C2755274,C3166793
1225,35,C0268893,C0885770
1226,36,C0027136,C3277017
1227,37,C3275462,C3803851
1228,38,C1644033,C1669573
1229,39,C1370698,C2003948
1230,40,C0490620,C3322781
1231,41,C0484438,C1279334
1232,42,C3357039,C3971125
1233,43,C1427081,C3327896
1234,44,C2652001,C3090435
1235,45,C1031141,C3088797
1236,46,C1186371,C3126526
1237,47,C0810024,C1696073
1238,48,C1983092,C3658468
1239,49,C0071663,C1450745
1240,50,C1437789,C1851212
1241,51,C3855112,C3946736
1242,52,C2621344,C3323618
1243,53,C0955159,C3639827
1244,54,C1508324,C1866224
1245,55,C0482094,C1912202
1246,56,C1244652,C3395086
1247,57,C0501630,C2826951
1248,58,C0661287,C3820258
1249,59,C2311950,C3374975
1250,60,C1215276,C2271518
1251,61,C3389843,C3743343
1252,62,C0985030,C3997392
1253,63,C0005488,C3799603
1254,64,C0346675,C0712715
1255,65,C3532166,C3921640
1256,66,C2391735,C3430914
1257,67,C1412399,C2370497
1258,68,C1908561,C3085389
1259,69,C3224817,C3654788
1260,0,C1230290,C1561179
1261,1,C0550528,C0829416
1262,2,C2558990,C3722036
1263,3,C2715457,C3753643
1264,4,C0854802,C1558720
1265,5,C1469884,C2338560
1266,6,C2412231,C2697051
1267,7,C1221798,C3457908
1268,8,C1162283,C2617583
1269,9,C3382233,C3621243
1270,10,C1694883,C3810797
1271,11,C0879762,C1705725
1272,12,C0751211,C2407911
1273,13,C1141260,C3341523
1274,14,C1495306,C3755774
1275,15,C1970591,C2797105
1276,16,C1562585,C2462691
1277,17,C2556662,C3656713
1278,18,C2500947,C3969183
1279,19,C3124932,C3604170
1280,20,C2521644,C2667092
1281,21,C2247750,C3315856
1282,22,C1456424,C3123035
1283,23,C2550345,C3770642
1284,24,C0625741,C3729410
1285,25,C2918303,C3010878
1286,26,C1485021,C1657225
1287,27,C3256587,C3961742
1288,28,C3051273,C3628999
1289,29,C1549722,C3388076
1290,30,C0390864,C2445875
1291,31,C0538385,C1639547
1292,32,C1185071,C4007990
1293,33,C1077895,C3554270
1294,34,C2302925,C3986516
1295,35,C0702227,C1049577
1296,36,C1493843,C3020795
1297,37,C1516823,C2810361
1298,38,C0956196,C2613995
1299,39,C1708675,C3043644
1300,40,C0020054,C1596265
1301,41,C0149688,C3748332
1302,42,C0082028,C0381028
1303,43,C0150941,C3086429
1304,44,C1186258,C2449223
1305,45,C0646377,C3089755
1306,46,C0606031,C2306481
1307,47,C0787435,C3829344
1308,48,C2766164,C3710052
1309,49,C1290880,C1538492
1310,50,C2424422,C3057045
1311,51,C2778259,C3222055
1312,52,C2357648,C2372501
1313,53,C1840081,C2826916
1314,54,C0818396,C4006557
1315,55,C2267888,C3575228
1316,56,C1351861,C3051018
1317,57,C1064086,C3471048
1318,58,C0014142,C1984556
1319,59,C0928071,C3570563
1320,60,C2555031,C2559098
1321,61,C1220736,C4018461
1322,62,C1624189,C3896831
1323,63,C2554981,C3380458
1324,64,C1982261,C3981406
1325,65,C0458567,C3258959
1326,66,C1259649,C2311962
1327,67,C0561313,C3980728
1328,68,C0956285,C3228213
1329,69,C3163159,C3975231
1330,0,C2781805,C3434975
1331,1,C0064026,C1944561
1332,2,C1462902,C3952392
1333,3,C0883342,C3046013
1334,4,C0615280,C3179582
1335,5,C1062837,C2576240
1336,6,C3156588,C3938849
1337,7,C2407161,C2991115
1338,8,C1506111,C1550408
1339,9,C2985713,C2998369
1340,10,C3590154,C4001833
1341,11,C1324789,C3632478
1342,12,C0158730,C1862839
1343,13,C1170054,C3217279
1344,14,C2936460,C3008807
1345,15,C3611842,C3958499
1346,16,C1906578,C3658448
1347,17,C0083134,C3350399
1348,18,C0379274,C1227034
1349,19,C0939425,C2655542
1350,20,C1516831,C3977793
1351,21,C0319763,C2358423
1352,22,C2945511,C3764819
1353,23,C1663525,C3094133
1354,24,C1670575,C3963820
1355,25,C3176837,C3177543
1356,26,C1026814,C1917461
1357,27,C0707502,C1623591
1358,28,C3053099,C3351468
1359,29,C2932951,C3570848
1360,30,C1638549,C2278548
1361,31,C0427985,C3791195
1362,32,C0477992,C2796941
1363,33,C3075119,C3984623
1364,34,C0068001,C0222632
1365,35,C0294958,C0821742
1366,36,C3019453,C3932391
1367,37,C2474755,C3963187
1368,38,C1466917,C3503710
1369,39,C0589687,C3967392
1370,40,C2329309,C3375173
1371,41,C2757465,C3135404
1372,42,C1270604,C3815122
1373,43,C0442857,C3830812
1374,44,C0082404,C1417675
1375,45,C1902269,C2708653
1376,46,C0295379,C1577187
1377,47,C0085349,C3596734
1378,48,C2710864,C3441397
1379,49,C0698012,C3659473
1380,50,C1003293,C1129376
1381,51,C0047214,C1472579
1382,52,C3629237,C3661083
1383,53,C1849046,C3973047
1384,54,C1817512,C3058367
1385,55,C0621201,C3410675
1386,56,C0782162,C1306065
1387,57,C0381110,C3812478
1388,58,C2916886,C3315450
1389,59,C2824011,C3583012
1390,60,C1245307,C2644896
1391,61,C1682808,C3361750
1392,62,C1495480,C1639034
1393,63,C0599219,C1632460
1394,64,C0971938,C3952631
1395,65,C0255385,C2555411
1396,66,C0972145,C3814807
1397,67,C2458839,C3103418
1398,68,C2338100,C3421293
1399,69,C1531965,C1614621
1400,0,C3059535,C3818151
1401,1,C0540608,C3843065
1402,2,C2519914,C2540039
1403,3,C0054236,C1507172
1404,4,C0735377,C3442797
1405,5,C0044693,C0665023
1406,6,C1993516,C3059984
1407,7,C0448087,C3076016
1408,8,C3277425,C3464127
1409,9,C0258131,C1972386
1410,10,C1416778,C3972208
1411,11,C1283271,C2766897
1412,12,C3561473,C3993563
1413,13,C0042567,C2604807
1414,14,C3543514,C4041592
1415,15,C1858506,C2386224
1416,16,C0079519,C3051136
1417,17,C1490474,C3474950
1418,18,C1327728,C3593965
1419,19,C3211782,C3722794
1420,20,C1002464,C3947136
1421,21,C0151726,C2414986
1422,22,C0164966,C3870885
1423,23,C0601528,C3982984
1424,24,C3037889,C3740284
1425,25,C3037855,C3529785
1426,26,C0634456,C3654631
1427,27,C1259762,C3627755
1428,28,C1525132,C3851685
1429,29,C1897764,C3562581
1430,30,C1213015,C3158489
1431,31,C0054404,C4005348
1432,32,C1001632,C3983980
1433,33,C0322433,C2737229
1434,34,C1981552,C2273421
1435,35,C1987335,C2417213
1436,36,C2777357,C3711286
1437,37,C1527616,C3074823
1438,38,C1969261,C4003503
1439,39,C0552766,C3800765
1440,40,C0540623,C1435273
1441,41,C3712641,C3779873
1442,42,C0114430,C3206174
1443,43,C0387295,C0538064
1444,44,C1462579,C1881704
1445,45,C2714873,C4034265
1446,46,C1091151,C3500660
1447,47,C0758688,C1952936
1448,48,C0018802,C3795048
1449,49,C1048271,C3564634
1450,50,C0617685,C1538310
1451,51,C1313400,C1332118
1452,52,C0847190,C1649854
1453,53,C2448809,C3223187
1454,54,C0966040,C1368998
1455,55,C2364920,C3530556
1456,56,C2380051,C3972613
1457,57,C2483976,C3653121
1458,58,C1599879,C3651333
1459,59,C1638145,C1846959
1460,60,C0481799,C3470885
1461,61,C2764218,C3904553
1462,62,C1703811,C3415652
1463,63,C1879944,C3152931
1464,64,C1269598,C2718804
1465,65,C1474266,C3635442
1466,66,C1862975,C3434695
1467,67,C0994277,C1918995
1468,68,C0270254,C3130588
1469,69,C1196222,C2608883
1470,0,C1972942,C3025595
1471,1,C0880032,C2425486
1472,2,C3545474,C3961469
1473,3,C1475765,C2452639
1474,4,C0046772,C2448311
1475,5,C1839561,C2688645
1476,6,C1700491,C2676935
1477,7,C3369218,C3620030
1478,8,C1919800,C3639498
1479,9,C1341374,C3619641
1480,10,C0021059,C2250969
1481,11,C0037536,C2619309
1482,12,C3029855,C3912347
1483,13,C0591383,C2480545
1484,14,C1560026,C4009245
1485,15,C3086258,C3754520
1486,16,C2936657,C3952886
1487,17,C1382546,C3327464
1488,18,C1818394,C3279613
1489,19,C1070296,C1114402
1490,20,C1333408,C3337480
1491,21,C2307574,C2943975
1492,22,C2809700,C3368920
1493,23,C3753307,C4001905
1494,24,C2557427,C3713110
1495,25,C1577828,C1901836
1496,26,C3740627,C3918432
1497,27,C1046141,C1851604
1498,28,C0683570,C3229382
1499,29,C0902875,C2450284
1500,30,C0086592,C2692036
1501,31,C0914616,C2691654
1502,32,C3205077,C3992988
1503,33,C0528836,C0999924
1504,34,C1940044,C3914072
1505,35,C0879489,C1974640
1506,36,C1644702,C1831391
1507,37,C1953064,C3318693
1508,38,C1668740,C3561293
1509,39,C1562908,C1573735
1510,40,C1070219,C2696553
1511,41,C3059313,C3542590
1512,42,C0033519,C2564164
1513,43,C2284390,C3949591
1514,44,C1919273,C3432674
1515,45,C3501497,C3859456
1516,46,C1697271,C3845507
1517,47,C1885973,C4000621
1518,48,C1666541,C3762325
1519,49,C0914469,C2287831
1520,50,C1722659,C2418249
1521,51,C3115114,C3812637
1522,52,C1501131,C2282167
1523,53,C1203499,C3905730
1524,54,C0978973,C3499919
1525,55,C0008816,C3566620
1526,56,C0307506,C3352379
1527,57,C2308820,C2949172
1528,58,C1921758,C3204731
1529,59,C3221116,C3369316
1530,60,C1969230,C3762346
1531,61,C0062935,C3158284
1532,62,C1280478,C3934818
1533,63,C0608799,C1523679
1534,64,C0501322,C2286873
1535,65,C3254694,C3797197
1536,66,C0958710,C3134968
1537,67,C3639797,C3772865
1538,68,C0592134,C1563454
1539,69,C0868977,C2549671
1540,0,C1682498,C3239486
1541,1,C1124435,C1188162
1542,2,C0205042,C3719350
1543,3,C1020560,C3132328
1544,4,C1313048,C1612249
1545,5,C1718667,C3773285
1546,6,C2458398,C2679667
1547,7,C0538056,C2785629
1548,8,C0606244,C1678230
1549,9,C1684236,C3932607
1550,10,C3581276,C3723383
1551,11,C1193015,C3588876
1552,12,C0663947,C3377060
1553,13,C1066328,C2463235
1554,14,C3600838,C3742850
1555,15,C0960752,C3374568
1556,16,C0827891,C3084445
1557,17,C2452004,C3640296
1558,18,C1092611,C3536804
1559,19,C3409134,C3803636
1560,20,C1248129,C3424800
1561,21,C0039869,C1858457
1562,22,C1816613,C3329235
1563,23,C0502367,C1845149
1564,24,C3222958,C3700061
1565,25,C0322948,C1716285
1566,26,C1453613,C3569824
1567,27,C1167465,C3791248
1568,28,C0874130,C2757863
1569,29,C0066080,C2467406
1570,30,C0639630,C3971214
1571,31,C2619234,C3480825
1572,32,C1057719,C2715760
1573,33,C0635188,C2308386
1574,34,C2352680,C3554658
1575,35,C3608325,C3809448
1576,36,C0265528,C3082573
1577,37,C0626839,C3429260
1578,38,C2935884,C3207919
1579,39,C0081717,C1927432
1580,40,C1140097,C2669728
1581,41,C3365338,C3940691
1582,42,C1453021,C2391457
1583,43,C0950159,C2355037
1584,44,C1889683,C2312550
1585,45,C0872104,C1417835
1586,46,C2667936,C3729484
1587,47,C0265496,C3084842
1588,48,C1088632,C1669487
1589,49,C2334662,C2813915
1590,50,C1269568,C1476143
1591,51,C3423363,C3955359
1592,52,C1937716,C3430855
1593,53,C0291968,C3050032
1594,54,C1332340,C2293257
1595,55,C0388804,C3760415
1596,56,C2952815,C3272767
1597,57,C1899359,C3071984
1598,58,C1826969,C2710401
1599,59,C1838650,C2634012
1600,60,C2500543,C3785099
1601,61,C0319746,C1252744
1602,62,C2259227,C2928189
1603,63,C0071196,C0108146
1604,64,C1081274,C2396102
1605,65,C1029718,C1250794
1606,66,C0938354,C2293817
1607,67,C3735041,C3825858
1608,68,C1309888,C3491467
1609,69,C2294142,C2829561
1610,0,C1614499,C2323080
1611,1,C0326091,C2661037
1612,2,C0603970,C2943214
1613,3,C0760571,C3132511
1614,4,C3534589,C3945885
1615,5,C2665396,C3367136
1616,6,C1026553,C1482579
1617,7,C0346724,C3774407
1618,8,C0810275,C2807571
1619,9,C0491845,C2376822
1620,10,C1528824,C2672571
1621,11,C0055002,C1050313
1622,12,C1565150,C3767999
1623,13,C1289559,C3942045
1624,14,C0922523,C2458536
1625,15,C1190599,C1268075
1626,16,C0927172,C1335122
1627,17,C0990475,C1662063
1628,18,C1046191,C2782610
1629,19,C1462545,C3040084
1630,20,C0818383,C1512761
1631,21,C2687573,C3348991
1632,22,C0482033,C2663175
1633,23,C0930775,C1015672
1634,24,C0038762,C1817227
1635,25,C3006843,C3720921
1636,26,C1310136,C3535859
1637,27,C1001077,C1649585
1638,28,C3811405,C4001039
1639,29,C2645218,C2790818
1640,30,C2630372,C3374974
1641,31,C3270664,C3610941
1642,32,C2747721,C2963497
1643,33,C1545591,C3584924
1644,34,C1890200,C4042322
1645,35,C0968900,C3387826
1646,36,C2004526,C3905515
1647,37,C1824425,C3427783
1648,38,C1041187,C3700676
1649,39,C1688745,C3364475
1650,40,C2452822,C3946537
1651,41,C2449448,C2633064
1652,42,C2415188,C2663735
1653,43,C1871062,C3922348
1654,44,C0281547,C1916211
1655,45,C1420285,C2535911
1656,46,C1877677,C3577749
1657,47,C1081070,C1846259
1658,48,C0157085,C1012575
1659,49,C2338651,C3181726
1660,50,C0597136,C3612713
1661,51,C2373273,C2782082
1662,52,C1623425,C3222268
1663,53,C0482802,C0661517
1664,54,C0921428,C3262603
1665,55,C1943096,C3827925
1666,56,C1088124,C1447590
1667,57,C0290965,C3636646
1668,58,C1586202,C2783345
1669,59,C1007241,C2495142
1670,60,C0826461,C1629619
1671,61,C3580912,C4042210
1672,62,C1631995,C3758091
1673,63,C0642888,C2763271
1674,64,C1318038,C1460302
1675,65,C1924988,C3027070
1676,66,C0940618,C2297187
1677,67,C1886425,C3906755
1678,68,C1512863,C3036410
1679,69,C0501059,C2262864
1680,0,C1253771,C3858862
1681,1,C0095860,C2276929
1682,2,C1832314,C2288537
1683,3,C1373016,C1431349
1684,4,C0296959,C2463886
1685,5,C2995172,C4015704
1686,6,C0895080,C4008528
1687,7,C0298651,C1714631
1688,8,C1481325,C3065862
1689,9,C0975429,C3998691
1690,10,C1149004,C3587461
1691,11,C2489731,C3720702
1692,12,C1670954,C1674258
1693,13,C2446806,C3384660
1694,14,C0077531,C0936142
1695,15,C1175232,C2410826
1696,16,C1056816,C3107025
1697,17,C3608205,C3783161
1698,18,C0649593,C3993048
1699,19,C2662489,C3555086
1700,20,C1520281,C3116193
1701,21,C3361842,C4041827
1702,22,C1358037,C4024795
1703,23,C1098992,C2473234
1704,24,C1668742,C3885496
1705,25,C0043219,C0107596
1706,26,C2774255,C3845902
1707,27,C1257481,C4002442
1708,28,C1598459,C3823310
1709,29,C0385951,C1065940
1710,30,C3825922,C3962012
1711,31,C2304785,C2523120
1712,32,C1545554,C2533128
1713,33,C3018290,C3318616
1714,34,C1675859,C2923112
1715,35,C1865208,C2825874
1716,36,C3408217,C4009783
1717,37,C2256380,C4026262
1718,38,C1957549,C3329814
1719,39,C1308368,C1820190
1720,40,C0827847,C3367888
1721,41,C2755167,C3972471
1722,42,C2331224,C3269887
1723,43,C0055481,C1212949
1724,44,C3000123,C3914985
1725,45,C0226032,C3800872
1726,46,C0155629,C0265122
1727,47,C1825064,C3973250
1728,48,C3206799,C4008963
1729,49,C1942833,C3892756
1730,50,C0503121,C3774264
1731,51,C3743217,C3775937
1732,52,C1524270,C2400453
1733,53,C0476910,C3011561
1734,54,C1724107,C3033638
1735,55,C1528982,C3896088
1736,56,C0053855,C3711931
1737,57,C0637135,C2549295
1738,58,C2555136,C2632771
1739,59,C1328836,C3265064
1740,60,C1818202,C1925436
1741,61,C1571225,C3419407
1742,62,C1204588,C3620843
1743,63,C1332581,C3438402
1744,64,C2761335,C3922836
1745,65,C0870224,C3497959
1746,66,C1441800,C2398033
1747,67,C3004403,C3078998
1748,68,C1888742,C3064626
1749,69,C0822016,C1325733
1750,0,C2788778,C2928302
1751,1,C0134029,C1326736
1752,2,C2299000,C3255719
1753,3,C1028602,C3227389
1754,4,C2772821,C3817903
1755,5,C1212386,C1518561
1756,6,C0067749,C1629186
1757,7,C1674717,C3599835
1758,8,C3482074,C4006655
1759,9,C1841614,C3371545
1760,10,C1948720,C2785391
1761,11,C0004631,C1507683
1762,12,C1834782,C2431887
1763,13,C1847383,C2253841
1764,14,C2435114,C3965369
1765,15,C3276239,C3988313
1766,16,C0216876,C4020255
1767,17,C1453389,C3166855
1768,18,C2804564,C2830043
1769,19,C1863988,C3484290
1770,20,C1031067,C1239659
1771,21,C0387033,C0641113
1772,22,C0064880,C3604839
1773,23,C0803276,C3326741
1774,24,C0297903,C0764742
1775,25,C1351867,C1741079
1776,26,C0372467,C1145651
1777,27,C1373050,C3040528
1778,28,C2611140,C3848678
1779,29,C1649082,C3768019
1780,30,C0618581,C3560532
1781,31,C2517306,C2950873
1782,32,C2351125,C3106895
1783,33,C1945861,C3391112
1784,34,C1280843,C3537343
1785,35,C3380543,C3804093
1786,36,C1212506,C1717405
1787,37,C0025375,C1194063
1788,38,C1020463,C2350032
1789,39,C3147577,C3152557
1790,40,C0295174,C1212343
1791,41,C2638059,C3002364
1792,42,C1066186,C2749042
1793,43,C0182502,C1077384
1794,44,C0031822,C0734224
1795,45,C0329228,C0483077
1796,46,C1513316,C2929941
1797,47,C3315981,C3426555
1798,48,C0500360,C0817868
1799,49,C1614507,C3809280
1800,50,C1138403,C2764637
1801,51,C0928134,C3350860
1802,52,C1226477,C3109846
1803,53,C3471027,C3971139
1804,54,C2568035,C2623377
1805,55,C0672690,C2718372
1806,56,C1704152,C1862835
1807,57,C3101365,C3667803
1808,58,C1619574,C2347745
1809,59,C1884808,C3655541
1810,60,C1097579,C3339179
1811,61,C0820078,C2728213
1812,62,C1037921,C3895986
1813,63,C1176347,C2289192
1814,64,C1556928,C3632560
1815,65,C1040049,C1121388
1816,66,C0297036,C1092137
1817,67,C1151693,C3154509
1818,68,C3811529,C3894682
1819,69,C1994018,C3025405
1820,0,C0503801,C1947292
1821,1,C1057573,C2825786
1822,2,C1642394,C2475881
1823,3,C3167221,C3980354
1824,4,C0216191,C3432715
1825,5,C2699330,C3444487
1826,6,C0226784,C4042498
1827,7,C1159220,C1898622
1828,8,C3331976,C3788521
1829,9,C0649722,C3829329
1830,10,C1121102,C2414359
1831,11,C2390128,C3056296
1832,12,C1853494,C1903070
1833,13,C0707400,C3113942
1834,14,C1503919,C3329723
1835,15,C0269906,C3741851
1836,16,C0016343,C2572446
1837,17,C1027402,C1739842
1838,18,C3869531,C3910504
1839,19,C0773197,C2559245
1840,20,C1917682,C3763295
1841,21,C3568928,C3701073
1842,22,C1212506,C1646987
1843,23,C2357966,C3717948
1844,24,C0952583,C2635358
1845,25,C0880844,C2513689
1846,26,C2690782,C3731962
1847,27,C0623292,C2460988
1848,28,C0014653,C3658103
1849,29,C1924959,C3280401
1850,30,C1228012,C4018878
1851,31,C1050563,C2544449
1852,32,C1473451,C2990758
1853,33,C2291070,C3769775
1854,34,C0035705,C2414291
1855,35,C0656740,C0758134
1856,36,C2722515,C3766455
1857,37,C2572008,C2800302
1858,38,C2305288,C3692884
1859,39,C1167117,C3872265
1860,40,C1455812,C3899818
1861,41,C0998374,C3986973
1862,42,C1100399,C1970356
1863,43,C0929806,C1185264
1864,44,C2425473,C3584246
1865,45,C0229216,C1176268
1866,46,C1173005,C2616134
1867,47,C2304715,C2689399
1868,48,C1251237,C2529598
1869,49,C1071291,C1649896
1870,50,C0783981,C3652195
1871,51,C1830215,C2799444
1872,52,C1144094,C1566684
1873,53,C1172755,C3072721
1874,54,C0299563,C2628450
1875,55,C0203549,C3276281
1876,56,C1869639,C1873125
1877,57,C2696718,C3029294
1878,58,C1507320,C3172976
1879,59,C0793662,C2508066
1880,60,C3252141,C3580517
1881,61,C0159333,C2275094
1882,62,C1144851,C3085724
1883,63,C1083738,C3758651
1884,64,C0006383,C1468415
1885,65,C3375664,C3594548
1886,66,C1520525,C1913309
1887,67,C2598207,C3057337
1888,68,C3101739,C3253199
1889,69,C0271959,C1094793
1890,0,C0043219,C0865280
1891,1,C1741636,C2924565
1892,2,C1742119,C2479488
1893,3,C0822312,C0985839
1894,4,C0736575,C1670784
1895,5,C0883406,C1842281
1896,6,C1011789,C1072452
1897,7,C2330679,C3919397
1898,8,C3410508,C3977026
1899,9,C3808062,C3824897
1900,10,C0672169,C1460605
1901,11,C0087071,C2696797
1902,12,C3020827,C3925514
1903,13,C2643845,C3959381
1904,14,C1633068,C2370751
1905,15,C1834292,C3410693
1906,16,C0613678,C2567708
1907,17,C0431500,C2805202
1908,18,C0662868,C2382863
1909,19,C0656712,C3217234
1910,20,C1677335,C3337013
1911,21,C1221568,C3372258
1912,22,C1101276,C2771743
1913,23,C1078247,C2723391
1914,24,C1275554,C1479137
1915,25,C0886568,C2610055
1916,26,C1709391,C3179161
1917,27,C1023799,C3043422
1918,28,C1149597,C2639723
1919,29,C1484136,C1677998
1920,30,C0929295,C1358641
1921,31,C1866670,C2689460
1922,32,C0141016,C2787426
1923,33,C0942207,C2970516
1924,34,C0912402,C1309613
1925,35,C1537913,C3062525
1926,36,C1082427,C3238679
1927,37,C1174734,C3259537
1928,38,C0124412,C2709068
